"confidence","encoding","!","""","%","&","'","(",")","*","+",",","-",".","/",":",";","<","=",">","?","@","CR","HT","LF","NBSP","RS","SP","[","\","]","^","_","`","{","|","}","~","©","«","®","°","»","ѕ","ј","–","—","‘","’","“","”","„","•","…","№","file name"
0.99,"windows-1251",332,"","","","",2,1,1,"",11064,1026,8566,2,419,12,"","","",721,"",4095,4096,4095,"","",129931,"","","","","","","",1,"","","",1019,"","",1010,"","","",3276,"","","","","","",176,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 26(СМЕРТОНОСНОЕ НАСЛЕДСТВО)СТАКПОЛ.txt"
0.99,"windows-1251",797,2464,"","",4,38,38,1,"",12110,4516,10935,"",352,17,"","","",822,"","","",13570,"","",156481,"","","",1,"","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 27(ОПЕРАЦИЯ ЭКСКАЛИБУР)КЕЙТ.txt"
0.99,"windows-1251",849,"","","",1,12,12,"","",12554,1302,12731,1,747,22,"","","",1146,"",5643,"",5643,"","",163228,"","","","","","","","","","","",552,"","",553,"","","",5072,"","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 28(КРОВАВОЕ НАСЛЕДСТВО)СТАКПОЛ.txt"
0.99,"windows-1251",356,1815,"","","",31,31,16,"",13964,7092,11788,"",288,5,"","","",948,"","","",14469,"","",167810,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 28(ПОТЕРЯННАЯ СУДЬБА)СТАКПОЛ.txt"
0.99,"windows-1251",249,"","","",4,2,2,9,"",11376,4575,9693,2,154,91,"","",1,542,"",3824,"",3824,"","",143950,"","","","","","","","","","","","","","","","","","","","","",931,930,"",1,1,"","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 30(ВОЛКИ НА ГРАНИЦЕ)ЧЕРРИТ.txt"
0.99,"windows-1251",750,1494,"",1,6,14,15,14,"",12167,5396,10638,1,344,42,"","","",810,"",12148,"",12148,"","",179041,14,"",14,5,1,"","",1,"","","","","","","","","",1,"","","","","","",2,"","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 31(СЕРДЦА ХАОСА)МИЛАН.txt"
0.99,"windows-1251",675,1242,1,"",2,1,1,3,"",11911,5274,10837,"",304,25,"","","",916,"",12538,"",12538,"","",219980,1,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 32(ПРЕСТУПНЫЕ НАМЕРЕНИЯ)СТАКПОЛ.txt"
0.99,"windows-1251",281,2599,"","",60,53,53,38,"",10427,4965,8513,"",372,137,"","","",518,"","","",12414,"","",135858,"","","","",10,"","","","","","","","","","","",1,"","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 34(ЧЕРНЫЙ ДРАКОН)МИЛАН.txt"
0.99,"windows-1251",202,2191,"","",1,52,53,"","",8608,4502,7397,"",444,18,"","","",386,"",9865,"",9865,"","",170388,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 35(ДВОЙНАЯ ИГРА)ЛИ ПАРДОУ.txt"
0.99,"windows-1251",140,890,"","","",2,2,"","",7735,3547,6021,"",98,1,"","","",510,"","","",9298,"","",101094,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 36(ЗВЕЗДНЫЙ ВЛАСТЕЛИН)ФИЛЛИПС.txt"
0.99,"windows-1251",63,2582,"","",26,4,4,2,"",9189,3903,7197,"",245,29,"","","",459,"","",1,11082,"","",119648,"","","","","","","","","","","","","","","","","","","","","","","","","","","","test\data\series\BATTLETECH - 54\ВОЙНА РОБОТОВ 37(НА ЛИНИИ ОГНЯ)КОУЛМЕН.txt"
